Entry	Gene Names	Gene Ontology (molecular function)
Q6C084	YALI0_F26983g	"flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]"
Q6C085	YALI0_F26961g	
Q6C086	YALI0_F26917g	
Q6C087	YALI0_F26895g	
Q6C090	YALI0_F26785g	nucleotidase activity [GO:0008252]
Q6C091	YALI0_F26763g	
Q6C094	YALI0_F26675g	
Q6C095	YALI0_F26653g	small ribosomal subunit rRNA binding [GO:0070181]
Q6C096	YALI0_F26631g	
Q6C099	YALI0_F26565g	
Q6C0A0	YALI0_F26543g	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
Q6C0A3	YALI0_F26477g	
Q6C0A5	YALI0_F26433g	aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]
Q6C0A6	YALI0_F26411g	metallopeptidase activity [GO:0008237]; proteasome binding [GO:0070628]
Q6C0A7	YALI0_F26389g	histone binding [GO:0042393]
Q6C0A8	YALI0_F26367g	
Q6C0A9	YALI0_F26345g	chromatin binding [GO:0003682]
Q6C0B0	YALI0_F26323g	citrate secondary active transmembrane transporter activity [GO:0071913]
Q6C0B2	YALI0_F26279g	
Q6C0B3	YALI0_F26213g	
Q6C0B7	YALI0_F26125g	ADP-ribose diphosphatase activity [GO:0047631]
Q6C0B9	YALI0_F26081g	
Q6C0C0	YALI0_F26059g	CoA pyrophosphatase activity [GO:0010945]
Q6C0C1	YALI0_F26037g	CoA pyrophosphatase activity [GO:0010945]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]
Q6C0C2	YALI0_F26015g	
Q6C0C3	YALI0_F25993g	
Q6C0C6	YALI0_F25861g	
Q6C0C9	YALI0_F25795g	L-amino acid transmembrane transporter activity [GO:0015179]; L-methionine secondary active transmembrane transporter activity [GO:0000102]
Q6C0D0	YALI0_F25773g	"hydrolase activity, acting on ester bonds [GO:0016788]"
Q6C0D1	YALI0_F25751g	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
Q6C0D2	YALI0_F25729g	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
Q6C0D3	YALI0_F25707g	
Q6C0D4	YALI0_F25685g	
Q6C0D5	YALI0_F25663g	histone deacetylase binding [GO:0042826]
Q6C0D6	YALI0_F25641g	metal ion binding [GO:0046872]; S-adenosylmethionine-homocysteine S-methyltransferase activity [GO:0008898]
Q6C0D7	YALI0_F25619g	transmembrane transporter activity [GO:0022857]
Q6C0D8	YALI0_F25597g	fluconazole transmembrane transporter activity [GO:0015244]
Q6C0D9	YALI0_F25575g	
Q6C0E1	YALI0_F25531g	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
Q6C0E3	YALI0_F25487g	acyl-CoA hydrolase activity [GO:0047617]
Q6C0E4	YALI0_F25465g	
Q6C0E5	YALI0_F25443g	
Q6C0E7	YALI0_F25399g	structural constituent of ribosome [GO:0003735]
Q6C0F0	YALI0_F25267g	guanyl-nucleotide exchange factor activity [GO:0005085]
Q6C0F1	YALI0_F25245g	
Q6C0F2	YALI0_F25223g	
Q6C0F3	YALI0_F25201g	methionine-R-sulfoxide reductase activity [GO:0070191]
Q6C0F4	YALI0_F25179g	metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]
Q6C0F5	YALI0_F25157g	
Q6C0F7	YALI0_F25113g	
Q6C0G1	YALI0_F25025g	5'-nucleotidase activity [GO:0008253]; phosphatase activity [GO:0016791]; pseudouridine 5'-phosphatase activity [GO:1990738]
Q6C0G2	YALI0_F25003g	oxidoreductase activity [GO:0016491]
Q6C0G4	YALI0_F24959g	structural constituent of ribosome [GO:0003735]
Q6C0G5	YALI0_F24937g	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
Q6C0G6	YALI0_F24915g	zinc ion binding [GO:0008270]
Q6C0G8	YALI0_F24871g	
Q6C0H0	YALI0_F24761g	transmembrane transporter activity [GO:0022857]
Q6C0H1	YALI0_F24739g	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q6C0H2	YALI0_F24717g	mRNA binding [GO:0003729]
Q6C0H5	YALI0_F24651g	"2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]"
Q6C0H6	YALI0_F24585g	protein tyrosine phosphatase activity [GO:0004725]
Q6C0H8	YALI0_F24541g	
Q6C0H9	YALI0_F24519g	
Q6C0I3	YALI0_F24431g	
Q6C0I4	YALI0_F24409g	
Q6C0I6	YALI0_F24365g	structural constituent of ribosome [GO:0003735]
Q6C0I7	YALI0_F24343g	
Q6C0I9	YALI0_F24299g	ferric-chelate reductase activity [GO:0000293]
Q6C0J1	YALI0_F24255g	
Q6C0J2	YALI0_F24189g	
Q6C0J3	YALI0_F24167g	
Q6C0J4	YALI0_F24145g	transmembrane monodehydroascorbate reductase activity [GO:0140575]
Q6C0J5	YALI0_F24123g	structural constituent of ribosome [GO:0003735]
Q6C0J6	YALI0_F24101g	
Q6C0J7	YALI0_F24072g	
Q6C0J8	YALI0_F24057g	
Q6C0J9	YALI0_F24035g	transmembrane transporter activity [GO:0022857]
Q6C0K2	YALI0_F23969g	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen-proline 4-dioxygenase activity [GO:0004656]
Q6C0K5	YALI0_F23903g	myo-inositol:proton symporter activity [GO:0005366]
Q6C0K6	YALI0_F23881g	
Q6C0K7	YALI0_F23859g	histone binding [GO:0042393]; protein heterodimerization activity [GO:0046982]
Q6C0K8	YALI0_F23837g	cardiolipin synthase activity [GO:0008808]
Q6C0L1	YALI0_F23749g	fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; glutaryl-CoA dehydrogenase activity [GO:0004361]
Q6C0L3	YALI0_F23705g	
Q6C0L4	YALI0_F23683g	RNA binding [GO:0003723]
Q6C0L5	YALI0_F23661g	FMN binding [GO:0010181]; NADPH dehydrogenase activity [GO:0003959]
Q6C0L8	YALI0_F23573g	ATP binding [GO:0005524]; phosphatidylinositol phosphate kinase activity [GO:0016307]
Q6C0L9	YALI0_F23551g	thiosulfate sulfurtransferase activity [GO:0004792]
Q6C0M0	YALI0_F23529g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6C0M2	YALI0_F23485g	glycosyltransferase activity [GO:0016757]
Q6C0M8	YALI0_F23353g	
Q6C0N1	YALI0_F23265g	
Q6C0N4	YALI0_F23199g	
Q6C0N6	YALI0_F23133g	
Q6C0N8	YALI0_F23089g	UDP-galactose transmembrane transporter activity [GO:0005459]
Q6C0N9	YALI0_F23067g	"hydrolase activity, acting on ester bonds [GO:0016788]"
Q6C0P0	YALI0_F23045g	molecular adaptor activity [GO:0060090]
Q6C0P1	YALI0_F23023g	
Q6C0P2	YALI0_F22957g	
Q6C0P3	YALI0_F22935g	structural constituent of ribosome [GO:0003735]
Q6C0P4	YALI0_F22847g	
Q6C0P5	YALI0_F22825g	sulfonate dioxygenase activity [GO:0000907]
Q6C0P6	YALI0_F22803g	zinc ion binding [GO:0008270]
Q6C0P8	YALI0_F22759g	
Q6C0Q0	YALI0_F22715g	
Q6C0Q1	YALI0_F22693g	
Q6C0Q3	YALI0_F22649g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q6C0Q4	YALI0_F22627g	
Q6C0Q6	YALI0_F22583g	
Q6C0Q7	YALI0_F22561g	ubiquitin protein ligase activity [GO:0061630]
Q6C0Q9	YALI0_F22517g	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835]
Q6C0R1	YALI0_F22473g	
Q6C0R2	YALI0_F22451g	
Q6C0R3	YALI0_F22429g	
Q6C0R4	YALI0_F22421g	
Q6C0R7	YALI0_F22341g	endopeptidase activator activity [GO:0061133]
Q6C0R8	YALI0_F22319g	"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]"
Q6C0R9	YALI0_F22297g	guanyl-nucleotide exchange factor activity [GO:0005085]
Q6C0S0	YALI0_F22231g	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
Q6C0S1	YALI0_F22209g	4-hydroxy-4-methyl-2-oxoglutarate aldolase activity [GO:0047443]; oxaloacetate decarboxylase activity [GO:0008948]
Q6C0S2	YALI0_F22187g	
Q6C0S3	YALI0_F22165g	
Q6C0S5	YALI0_F22121g	catalytic activity [GO:0003824]
Q6C0S6	YALI0_F22099g	
Q6C0S7	YALI0_F22077g	unfolded protein binding [GO:0051082]
Q6C0S9	YALI0_F22033g	calcium activated cation channel activity [GO:0005227]
Q6C0T0	YALI0_F22011g	
Q6C0T1	YALI0_F21989g	
Q6C0T4	YALI0_F21923g	
Q6C0T8	YALI0_F21835g	metal ion binding [GO:0046872]; mRNA binding [GO:0003729]
Q6C0T9	YALI0_F21813g	
Q6C0U4	YALI0_F21703g	
Q6C0U5	YALI0_F21681g	"phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]"
Q6C0U7	YALI0_F21637g	
Q6C0U9	YALI0_F21549g	zinc ion binding [GO:0008270]
Q6C0V2	YALI0_F21483g	rRNA primary transcript binding [GO:0042134]
Q6C0V3	YALI0_F21428g	
Q6C0V5	YALI0_F21384g	
Q6C0V6	YALI0_F21362g	telomerase RNA binding [GO:0070034]; telomeric DNA binding [GO:0042162]
Q6C0V9	YALI0_F21307g	
Q6C0W0	YALI0_F21285g	
Q6C0W2	YALI0_F21241g	
Q6C0W4	YALI0_F21197g	carnitine O-acetyltransferase activity [GO:0004092]
Q6C0W5	YALI0_F21175g	
Q6C0W8	YALI0_F21109g	transmembrane transporter activity [GO:0022857]
Q6C0W9	YALI0_F21087g	
Q6C0X4	YALI0_F20988g	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
Q6C0X5	YALI0_F20966g	citrate secondary active transmembrane transporter activity [GO:0071913]
Q6C0X6	YALI0_F20944g	protein-lysine N-methyltransferase activity [GO:0016279]
Q6C0X7	YALI0_F20922g	siderophore-iron transmembrane transporter activity [GO:0015343]
Q6C0X8	YALI0_F20900g	2-dehydropantoate 2-reductase activity [GO:0008677]; NADP binding [GO:0050661]
Q6C0Y1	YALI0_F20834g	ubiquitin protein ligase activity [GO:0061630]
Q6C0Y2	YALI0_F20812g	
Q6C0Y6	YALI0_F20724g	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]
Q6C0Y8	YALI0_F20680g	ubiquitin protein ligase activity [GO:0061630]
Q6C0Z1	YALI0_F20614g	protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
Q6C0Z2	YALI0_F20592g	metalloaminopeptidase activity [GO:0070006]; zinc ion binding [GO:0008270]
Q6C0Z4	YALI0_F20548g	
Q6C0Z5	YALI0_F20526g	structural constituent of nuclear pore [GO:0017056]
Q6C0Z7	YALI0_F20482g	structural constituent of ribosome [GO:0003735]
Q6C0Z8	YALI0_F20460g	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
Q6C0Z9	YALI0_F20438g	
Q6C102	YALI0_F20372g	
Q6C106	YALI0_F20284g	
Q6C112	YALI0_F20152g	
Q6C113	YALI0_F20130g	
Q6C115	YALI0_F20086g	
Q6C118	YALI0_F19998g	4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]
Q6C121	YALI0_F19888g	
Q6C122	YALI0_F19866g	amino acid transmembrane transporter activity [GO:0015171]
Q6C123	YALI0_F19844g	
Q6C124	YALI0_F19822g	
Q6C125	YALI0_F19800g	tRNA threonylcarbamoyladenosine dehydratase [GO:0061503]; ubiquitin-like modifier activating enzyme activity [GO:0008641]
Q6C127	YALI0_F19756g	
Q6C128	YALI0_F19734g	monoatomic cation transmembrane transporter activity [GO:0008324]
Q6C130	YALI0_F19690g	transcription coregulator activity [GO:0003712]
Q6C131	YALI0_F19668g	ubiquitin binding [GO:0043130]
Q6C132	YALI0_F19646g	serine-type endopeptidase activity [GO:0004252]
Q6C133	YALI0_F19624g	mRNA binding [GO:0003729]
Q6C135	YALI0_F19580g	
Q6C137	YALI0_F19536g	transmembrane transporter activity [GO:0022857]
Q6C138	YALI0_F19514g	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; 1-acylglycerophosphocholine O-acyltransferase activity [GO:0047184]
Q6C139	YALI0_F19492g	
Q6C142	YALI0_F19426g	G protein-coupled receptor activity [GO:0004930]
Q6C144	YALI0_F19382g	chromatin binding [GO:0003682]
Q6C145	YALI0_F19360g	zinc ion binding [GO:0008270]
Q6C147	YALI0_F19316g	
Q6C151	YALI0_F19206g	
Q6C152	YALI0_F19184g	carbohydrate:proton symporter activity [GO:0005351]
Q6C153	YALI0_F19162g	
Q6C154	YALI0_F19140g	
Q6C155	YALI0_F19118g	siderophore-iron transmembrane transporter activity [GO:0015343]
Q6C156	YALI0_F19096g	
Q6C159	YALI0_F19030g	
Q6C160	YALI0_F18964g	oligopeptide transmembrane transporter activity [GO:0035673]
Q6C162	YALI0_F18920g	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]
Q6C163	YALI0_F18898g	ceramide 1-phosphate binding [GO:1902387]; ceramide 1-phosphate transfer activity [GO:1902388]
Q6C164	YALI0_F18876g	mRNA binding [GO:0003729]; N6-methyladenosine-containing RNA binding [GO:1990247]
Q6C165	YALI0_F18854g	magnesium ion transmembrane transporter activity [GO:0015095]
Q6C166	YALI0_F18832g	
Q6C167	YALI0_F18810g	N-acetyltransferase activity [GO:0008080]
Q6C170	YALI0_F18744g	
Q6C173	YALI0_F18678g	
Q6C174	YALI0_F18656g	
Q6C175	YALI0_F18634g	ubiquitin protein ligase activity [GO:0061630]
Q6C176	YALI0_F18612g	DNA binding [GO:0003677]; transcription coregulator activity [GO:0003712]
Q6C177	YALI0_F18590g	alditol:NADP+ 1-oxidoreductase activity [GO:0004032]
Q6C178	YALI0_F18568g	
Q6C179	YALI0_F18546g	mRNA binding [GO:0003729]
Q6C183	YALI0_F18458g	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
Q6C184	YALI0_F18436g	
Q6C185	YALI0_F18414g	nucleic acid binding [GO:0003676]; protein methyltransferase activity [GO:0008276]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
Q6C189	YALI0_F18326g	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]"
Q6C190	YALI0_F18304g	
Q6C191	YALI0_F18282g	structural constituent of cell wall [GO:0005199]
Q6C192	YALI0_F18260g	"DNA binding, bending [GO:0008301]"
Q6C194	YALI0_F18216g	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]
Q6C196	YALI0_F18172g	unfolded protein binding [GO:0051082]
Q6C197	YALI0_F18150g	structural constituent of ribosome [GO:0003735]
Q6C198	YALI0_F18128g	proteasome binding [GO:0070628]
Q6C199	YALI0_F18106g	GTPase activator activity [GO:0005096]
Q6C1A2	YALI0_F18018g	
Q6C1A5	YALI0_F17908g	
Q6C1A7	YALI0_F17864g	RNA 7-methylguanosine cap binding [GO:0000340]; translation initiation factor activity [GO:0003743]
Q6C1B0	YALI0_F17798g	
Q6C1B2	YALI0_F17754g	
Q6C1B3	YALI0_F17732g	
Q6C1B9	YALI0_F17600g	structural constituent of ribosome [GO:0003735]
Q6C1C0	YALI0_F17578g	
Q6C1C1	YALI0_F17556g	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]
Q6C1C3	YALI0_F17512g	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]
Q6C1C5	YALI0_F17468g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6C1C6	YALI0_F17446g	transmembrane transporter activity [GO:0022857]
Q6C1C7	YALI0_F17424g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6C1C8	YALI0_F17402g	"alpha-1,6-mannosyltransferase activity [GO:0000009]"
Q6C1D1	YALI0_F17336g	
Q6C1D2	YALI0_F17314g	porin activity [GO:0015288]; voltage-gated monoatomic anion channel activity [GO:0008308]
Q6C1D3	YALI0_F17292g	
Q6C1D6	YALI0_F17226g	
Q6C1D7	YALI0_F17204g	
Q6C1D8	YALI0_F17182g	
Q6C1D9	YALI0_F17160g	
Q6C1E5	YALI0_F17006g	
Q6C1E6	YALI0_F16984g	
Q6C1E7	YALI0_F16962g	
Q6C1E9	YALI0_F16918g	N-acetyltransferase activity [GO:0008080]
Q6C1F1	YALI0_F16874g	
Q6C1F2	YALI0_F16852g	transcription cis-regulatory region binding [GO:0000976]
Q6C1F5	YALI0_F16731g	lipase activity [GO:0016298]
Q6C1F7	YALI0_F16687g	lipase activity [GO:0016298]
Q6C1F9	YALI0_F16643g	RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; sequence-specific DNA binding [GO:0043565]
Q6C1G0	YALI0_F16621g	
Q6C1G1	YALI0_F16599g	"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6C1G3	YALI0_F16511g	DNA binding [GO:0003677]
Q6C1G6	YALI0_F16423g	allantoate transmembrane transporter activity [GO:0015124]; dipeptide transmembrane transporter activity [GO:0071916]
Q6C1G7	YALI0_F16401g	
Q6C1G9	YALI0_F16357g	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
Q6C1H3	YALI0_F16225g	acetate transmembrane transporter activity [GO:0015123]
Q6C1H7	YALI0_F16137g	RNA binding [GO:0003723]
Q6C1H9	YALI0_F16093g	
Q6C1I0	YALI0_F16071g	
Q6C1I2	YALI0_F16027g	beta-glucosidase activity [GO:0008422]
Q6C1I5	YALI0_F15961g	
Q6C1I6	YALI0_F15939g	histone binding [GO:0042393]
Q6C1I7	YALI0_F15917g	
Q6C1I9	YALI0_F15873g	ribosome binding [GO:0043022]
Q6C1J0	YALI0_F15851g	protein-folding chaperone binding [GO:0051087]
Q6C1J3	YALI0_F15785g	DNA binding [GO:0003677]
Q6C1J5	YALI0_F15741g	
Q6C1J6	YALI0_F15719g	enzyme activator activity [GO:0008047]; mRNA binding [GO:0003729]
Q6C1J8	YALI0_F15675g	
Q6C1J9	YALI0_F15653g	
Q6C1K0	YALI0_F15631g	"proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6C1K1	YALI0_F15609g	transmembrane transporter activity [GO:0022857]
Q6C1K3	YALI0_F15543g	
Q6C1K5	YALI0_F15433g	coenzyme A transmembrane transporter activity [GO:0015228]
Q6C1K6	YALI0_F15411g	zinc ion transmembrane transporter activity [GO:0005385]
Q6C1K9	YALI0_F15345g	pyridoxal phosphate binding [GO:0030170]; serine C-palmitoyltransferase activity [GO:0004758]
Q6C1L0	YALI0_F15323g	methyltransferase activity [GO:0008168]
Q6C1L2	YALI0_F15257g	
Q6C1L5	YALI0_F15191g	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein adenylyltransferase activity [GO:0070733]
Q6C1L8	YALI0_F15125g	
Q6C1L9	YALI0_F15103g	
Q6C1M0	YALI0_F15081g	
Q6C1M1	YALI0_F15059g	
Q6C1M2	YALI0_F15037g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6C1M3	YALI0_F15015g	
Q6C1M4	YALI0_F14993g	
Q6C1M5	YALI0_F14971g	
Q6C1M6	YALI0_F14949g	
Q6C1M8	YALI0_F14905g	
Q6C1M9	YALI0_F14883g	RNA polymerase I core promoter sequence-specific DNA binding [GO:0001164]; RNA polymerase I general transcription initiation factor activity [GO:0001181]
Q6C1N2	YALI0_F14817g	
Q6C1N5	YALI0_F14751g	
Q6C1N6	YALI0_F14729g	acyl-CoA hydrolase activity [GO:0047617]
Q6C1N8	YALI0_F14685g	
Q6C1P0	YALI0_F14641g	
Q6C1P1	YALI0_F14619g	
Q6C1P3	YALI0_F14575g	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]
Q6C1P5	YALI0_F14531g	metal ion binding [GO:0046872]
Q6C1P6	YALI0_F14509g	
Q6C1P8	YALI0_F14465g	structural constituent of ribosome [GO:0003735]
Q6C1Q1	YALI0_F14399g	
Q6C1Q2	YALI0_F14377g	snoRNA binding [GO:0030515]
Q6C1Q4	YALI0_F14333g	transmembrane transporter activity [GO:0022857]
Q6C1Q5	YALI0_F14311g	
Q6C1Q6	YALI0_F14289g	
Q6C1Q7	YALI0_F14267g	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
Q6C1Q8	YALI0_F14245g	RNA binding [GO:0003723]
Q6C1Q9	YALI0_F14223g	inorganic phosphate transmembrane transporter activity [GO:0005315]
Q6C1R0	YALI0_F14201g	nucleoside triphosphate diphosphatase activity [GO:0047429]
Q6C1R2	YALI0_F14157g	
Q6C1R3	YALI0_F14135g	palmitoyl-(protein) hydrolase activity [GO:0008474]; thiolester hydrolase activity [GO:0016790]
Q6C1R5	YALI0_F14091g	
Q6C1R7	YALI0_F14047g	cysteine synthase activity [GO:0004124]
Q6C1R9	YALI0_F14003g	
Q6C1S0	YALI0_F13981g	transmembrane transporter activity [GO:0022857]
Q6C1S1	YALI0_F13959g	oligopeptide transmembrane transporter activity [GO:0035673]
Q6C1S3	YALI0_F13805g	
Q6C1S5	YALI0_F13761g	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]"
Q6C1S6	YALI0_F13739g	transmembrane transporter activity [GO:0022857]
Q6C1S7	YALI0_F13717g	3'-5'-RNA exonuclease activity [GO:0000175]; RNA binding [GO:0003723]
Q6C1S8	YALI0_F13695g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6C1S9	YALI0_F13673g	guanyl-nucleotide exchange factor activity [GO:0005085]
Q6C1T0	YALI0_F13651g	"magnesium ion transmembrane transporter activity [GO:0015095]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]"
Q6C1T2	YALI0_F13607g	transmembrane transporter activity [GO:0022857]
Q6C1T3	YALI0_F13585g	
Q6C1T5	YALI0_F13519g	structural constituent of nuclear pore [GO:0017056]
Q6C1T6	YALI0_F13497g	metal ion binding [GO:0046872]; mRNA binding [GO:0003729]
Q6C1T9	YALI0_F13431g	
Q6C1U0	YALI0_F13409g	metal ion binding [GO:0046872]
Q6C1U1	YALI0_F13387g	membrane insertase activity [GO:0032977]
Q6C1U2	YALI0_F13365g	
Q6C1U4	YALI0_F13321g	"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6C1U8	YALI0_F13233g	protein heterodimerization activity [GO:0046982]
Q6C1U9	YALI0_F13211g	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]
Q6C1V1	YALI0_F13167g	
Q6C1V3	YALI0_F13145g	acetate transmembrane transporter activity [GO:0015123]
Q6C1V7	YALI0_F13035g	translation release factor activity [GO:0003747]
Q6C1V8	YALI0_F13013g	
Q6C1V9	YALI0_F12991g	structural constituent of ribosome [GO:0003735]
Q6C1W1	YALI0_F12947g	protein-macromolecule adaptor activity [GO:0030674]
Q6C1W6	YALI0_F12837g	
Q6C1W8	YALI0_F12793g	
Q6C1X1	YALI0_F12727g	
Q6C1X2	YALI0_F12705g	
Q6C1X4	YALI0_F12661g	
Q6C1X7	YALI0_F12595g	hydrolase activity [GO:0016787]
Q6C1X8	YALI0_F12573g	GTPase activator activity [GO:0005096]
Q6C1Y0	YALI0_F12529g	purine nucleosidase activity [GO:0008477]
Q6C1Y1	YALI0_F12507g	
Q6C1Y4	YALI0_F12375g	mRNA binding [GO:0003729]
Q6C1Y7	YALI0_F12287g	
Q6C1Y9	YALI0_F12243g	
Q6C1Z0	YALI0_F12221g	
Q6C1Z1	YALI0_F12199g	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines [GO:0016814]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]"
Q6C1Z2	YALI0_F12177g	"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity [GO:0004439]"
Q6C1Z4	YALI0_F12133g	
Q6C1Z5	YALI0_F12111g	
Q6C1Z7	YALI0_F12067g	
Q6C1Z8	YALI0_F12045g	
Q6C1Z9	YALI0_F12023g	
Q6C200	YALI0_F12001g	
Q6C201	YALI0_F11979g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q6C204	YALI0_F11913g	mating-type factor pheromone receptor activity [GO:0004932]
Q6C205	YALI0_F11891g	
Q6C207	YALI0_F11847g	
Q6C208	YALI0_F11825g	ferric-chelate reductase activity [GO:0000293]
Q6C210	YALI0_F11781g	phosphatase activity [GO:0016791]
Q6C212	YALI0_F11737g	
Q6C213	YALI0_F11715g	
Q6C214	YALI0_F11693g	
Q6C215	YALI0_F11671g	
Q6C218	YALI0_F11605g	"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]"
Q6C221	YALI0_F11539g	
Q6C223	YALI0_F11487g	
Q6C225	YALI0_F11429g	triglyceride lipase activity [GO:0004806]
Q6C226	YALI0_F11407g	
Q6C228	YALI0_F11363g	
Q6C230	YALI0_F11319g	
Q6C231	YALI0_F11297g	C-4 methylsterol oxidase activity [GO:0000254]; iron ion binding [GO:0005506]
Q6C232	YALI0_F11275g	
Q6C235	YALI0_F11209g	
Q6C236	YALI0_F11187g	
Q6C237	YALI0_F11165g	transcription corepressor activity [GO:0003714]
Q6C240	YALI0_F11099g	
Q6C241	YALI0_F11077g	endopeptidase inhibitor activity [GO:0004866]
Q6C242	YALI0_F11055g	small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]
Q6C244	YALI0_F11011g	
Q6C245	YALI0_F10945g	
Q6C247	YALI0_F10901g	
Q6C250	YALI0_F10824g	
Q6C254	YALI0_F10747g	
Q6C259	YALI0_F10637g	
Q6C260	YALI0_F10615g	
Q6C263	YALI0_F10527g	
Q6C266	YALI0_F10461g	calcium activated cation channel activity [GO:0005227]
Q6C267	YALI0_F10439g	
Q6C268	YALI0_F10373g	
Q6C270	YALI0_F10285g	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
Q6C271	YALI0_F10241g	oligopeptide transmembrane transporter activity [GO:0035673]
Q6C272	YALI0_F10219g	
Q6C273	YALI0_F10197g	D-amino-acid oxidase activity [GO:0003884]; FAD binding [GO:0071949]
Q6C274	YALI0_F10175g	
Q6C275	YALI0_F10153g	Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]
Q6C276	YALI0_F10131g	
Q6C279	YALI0_F10076g	structural constituent of ribosome [GO:0003735]
Q6C280	YALI0_F10054g	
Q6C281	YALI0_F10032g	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
Q6C283	YALI0_F09988g	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
Q6C285	YALI0_F09944g	
Q6C286	YALI0_F09878g	
Q6C289	YALI0_F09812g	peptidase activity [GO:0008233]
Q6C293	YALI0_F09691g	oligopeptide transmembrane transporter activity [GO:0035673]
